Date;CPI Total;Nahrungsmittel und alkoholfreie Getränke;Nahrungsmittel;Brot, Mehl und Getreideprodukte;Fleisch, Fleischwaren;Milch, Käse, Eier;Früchte, Gemüse, Kartoffeln und Pilze
31.10.1999;92.2389;92.8865;92.2557;99.2834;80.6091;101.2577;92.4233
30.11.1999;92.1509;92.6881;92.0607;98.4976;80.4332;101.2146;92.4194
31.12.1999;92.462;93.4742;92.7906;98.3618;81.436;101.1201;94.1534
31.01.2000;92.5762;93.821;93.1732;98.3955;81.7557;101.1568;95.2342
29.02.2000;92.9241;94.7608;94.1794;98.2879;82.4237;101.0872;98.9076
31.03.2000;92.8924;94.4102;93.868;98.2513;82.6833;101.1523;97.1392
30.04.2000;92.9736;95.066;94.5795;98.2882;84.0909;101.0532;98.2826
31.05.2000;92.9279;95.1929;94.7117;98.301;84.5137;101.1132;98.1858
30.06.2000;93.2738;95.7363;95.1713;97.9702;85.6707;100.7124;99.2744
31.07.2000;93.3429;94.9813;94.3222;97.7936;85.7145;101.0245;94.9186
31.08.2000;93.1014;95.212;94.5804;98.5558;85.5843;100.8815;95.1641
30.09.2000;93.568;94.9125;94.3286;98.1424;85.8522;100.7538;93.9079
31.10.2000;93.4677;94.5989;93.9261;97.7773;85.7069;100.3133;92.6935
30.11.2000;93.9133;94.7651;94.0574;98.0878;85.9212;100.6614;92.3643
31.12.2000;93.8428;94.3133;93.5695;96.2783;85.2429;100.6444;92.4466
31.01.2001;93.7755;95.1739;94.5016;97.9166;85.8928;101.2951;94.2289
28.02.2001;93.6487;95.3325;94.677;98.9173;85.6144;101.7047;94.0676
31.03.2001;93.7989;95.5155;94.9162;98.8545;85.8862;101.5551;94.8666
30.04.2001;94.0582;96.1185;95.5663;98.9336;86.504;101.7273;97.1094
31.05.2001;94.5687;96.453;95.9567;98.7439;86.3363;101.8395;100.338
30.06.2001;94.7479;97.9824;97.5396;98.8525;88.4463;102.2161;103.9211
31.07.2001;94.6045;97.6807;97.1994;99.4984;87.6868;102.618;102.0811
31.08.2001;94.0797;97.1573;96.64;98.9722;88.3035;102.6773;98.097
30.09.2001;94.1996;97.4076;96.8375;98.8494;87.8134;102.5822;99.6913
31.10.2001;94.0568;97.9469;97.4667;98.8024;87.9398;103.1417;102.5083
30.11.2001;94.1828;96.9631;96.4062;98.4075;88.3445;102.8907;96.5429
31.12.2001;94.148;97.7163;97.2464;98.6893;88.711;102.857;100.2693
31.01.2002;94.2645;99.3508;98.8883;99.5738;89.493;103.2109;107.0437
28.02.2002;94.2616;99.2203;98.7612;99.4005;88.8222;103.0116;108.189
31.03.2002;94.2768;99.2133;98.6953;99.4351;89.2104;103.0777;106.0844
30.04.2002;95.0902;99.5516;99.0658;100.1541;89.8614;103.2368;106.0931
31.05.2002;95.1815;99.1671;98.7509;100.2686;90.1158;102.7697;104.264
30.06.2002;95.0567;99.1889;98.6622;99.1043;89.8326;103.1784;105.5585
31.07.2002;94.5557;99.0258;98.4924;99.9898;90.1833;103.281;101.7611
31.08.2002;94.5243;98.8009;98.2714;100.1106;90.044;103.5802;100.7294
30.09.2002;94.6676;99.0222;98.4884;99.8113;90.4554;102.945;101.1731
31.10.2002;95.2205;98.8353;98.2947;100.461;90.0795;103.0075;100.1104
